stop_lat,wheelchair_boarding,stop_code,stop_lon,parent_station,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
29.979193,0,1993,-90.067,,,1993,N MIRO ST & A P TUREAUD AVE,N Miro at A P Tureaud,0,
30.024675,0,1620,-89.997611,,,1620,LAKE FOREST BLVD & LAKE FOREST BLVD,Lake Forest at Samovar,0,
30.020826,0,1627,-90.013043,,,1627,DWYER RD & BASINVIEW DR,Dwyer at Basinview,0,
30.021174,0,1626,-90.009547,,,1626,DWYER RD & SAINT CHARLES RD,Dwyer at Westlake,0,
30.021533,0,1625,-90.00572,,,1625,DWYER RD & WESTLAKE DR,Dwyer at Chantilly,0,
30.021665,0,1624,-90.00433,,,1624,DWYER RD & CAMELIA CT,Dwyer at Camelia,0,
29.971033,0,1999,-90.075768,,,1999,N MIRO ST & GOVERNOR NICHOLLS ST,N Miro at Ursulines,0,
29.972514,0,1998,-90.074439,,,1998,N MIRO ST & BARRACKS ST,N Miro at Barracks,0,
30.019571,0,1629,-90.01782,,,1629,DWYER RD & FOCH RD,Dwyer at Foch,0,
30.020295,0,1628,-90.01497,,,1628,DWYER RD & E HERMES ST,Dwyer at E Hermes,0,
29.967538,0,2130,-90.044325,,,2130,ST CLAUDE AVE & CLOUET ST,St Claude at Clouet,0,
29.993234,0,2863,-90.066823,,,2863,GENTILLY BLVD & LAFRENIERE ST,Gentilly at New Orleans,0,
29.96586,0,1951,-90.051212,,,1951_merged_2495666,DAUPHINE ST & SAINT ROCH AVE,Dauphine at Franklin,0,
29.98011,0,1365,-90.048352,,,1365,FRANKLIN AVE & N MIRO ST,Franklin at N Miro,0,
30.006999,0,1192,-90.050817,,,1192,FRANKLIN AVE & MIRABEAU AVE,Franklin at Carnot,0,
30.009954,0,1177,-90.064584,,,1177,SELMA ST & PAUGER ST,St Anthony at Selma,0,
30.007655,0,1176,-90.06486,,,1176,ST ANTHONY AVE & MIRABEAU AVE,St Anthony at Mirabeau,0,
30.007617,0,1175,-90.06712,,,1175,MIRABEAU AVE & WARRINGTON DR,Mirabeau at Allen,0,
30.007532,0,1174,-90.068674,,,1174,MIRABEAU AVE & WARRINGTON DR,Mirabeau at Warrington,0,
30.007377,0,1173,-90.070585,,,1173,MIRABEAU AVE & PRATT DR,Mirabeau at Pratt,0,
30.005111,0,1171,-90.074036,,,1171,PARIS AVE & WESTBROOK DR,Paris Ave at Westbrook,0,
30.003656,0,1170,-90.073894,,,1170,PARIS AVE & OWENS BLVD,Paris Ave at Owens,0,
30.014223,0,1179,-90.065054,,,1179,RAPIDES DR & CAMERON BLVD,St Anthony at Rapides,0,
30.011977,0,1178,-90.064862,,,1178,SAINT ANTHONY AVE & SELMA ST,St Anthony at Fillmore,0,
29.953711,0,5533,-90.069772,,,5533,CANAL ST & ROYAL ST,Canal at Bourbon,0,
29.954317,0,5532,-90.070674,,,5532,CANAL ST & DAUPHINE ST,Canal at Dauphine,0,
29.956271,0,5530,-90.073594,,,5530,CANAL ST & BASIN ST,Canal at Basin,0,
29.951016,0,5535,-90.065793,,,5535,CANAL ST & S PETERS ST,Canal at N Peters,0,
29.952575,0,5534,-90.068064,,,5534,UNNAMED ST & CHARTRES ST,Canal at Chartres,0,
29.961476,0,644,-90.10579,,,644,WASHINGTON AVE & S GENOIS ST,Washington at S Telemachus,0,
29.988743,0,1285,-90.058134,,,1285,ELYSIAN FIELDS AVE & AGRICULTURE ST,Elysian Fields at Abundance,0,
29.982599,0,1284,-90.057661,,,1284,ELYSIAN FIELDS AVE & UNNAMED ST,Elysian Fields and N Dorgenois,0,
29.992781,0,1287,-90.058506,,,1287,ELYSIAN FIELDS AVE & PLEASURE ST,Elysian Fields at Pleasure,0,
29.990724,0,1286,-90.058331,,,1286,ELYSIAN FIELDS AVE & TREASURE ST,Elysian Fields at Benefit,0,
29.975577,0,1281,-90.057105,,,1281,ELYSIAN FIELDS AVE & N ROMAN ST,Elysian Fields at N Roman,0,
29.972978,0,1280,-90.056894,,,1280,Elysian Fields Ave & N Claiborne Ave,Elysian Fields at N Claiborne,0,
29.979607,0,1283,-90.057464,,,1283,N MIRO ST & ELYSIAN FIELDS AVE,Elysian Fields at N Miro,0,
29.978608,0,1282,-90.057353,,,1282,ELYSIAN FIELDS AVE & N JOHNSON ST,Elysian Fields at N Galvez,0,
29.996835,0,1289,-90.058817,,,1289,Elysian Fields Ave & Milton St,Elysian Fields at Milton,0,
29.994806,0,1288,-90.058659,,,1288,ELYSIAN FIELDS AVE & SERE ST,Elysian Fields at Sere,0,
30.019908,0,1579,-90.02209,,,1579,BABYLON ST & DEANNE ST,Downman at Babylon,0,
30.01824,0,1578,-90.021569,,,1578,DWYER RD & BABYLON ST,Downman at Dwyer,0,
29.944638,0,689,-90.132783,,,689,S CARROLLTON AVE & BURTHE ST,S Carrollton at Maple,0,
29.946042,0,688,-90.131257,,,688,FRERET ST & DUBLIN ST,S Carrollton at Freret,0,
29.95087,0,685,-90.130957,,,685,WILLOW ST & CAMBRONNE ST,Willow at Cambronne,0,
29.952279,0,684,-90.132487,,,684,LEONIDAS ST & JEANNETTE ST,Leonidas at Willow,0,
29.947465,0,687,-90.129743,,,687,OAK ST & DUBLIN ST,S Carrollton at Oak,0,
29.948695,0,686,-90.128438,,,686,S CARROLLTON AVE & WILLOW ST,Willow at S Carrollton,0,
